,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
142,2004-08-18,Russia,Lithuania,4,3,Friendly,Moscow,Russia,7,1
143,2004-09-04,Belgium,Lithuania,1,1,FIFA World Cup qualification,Charleroi,Belgium,2,0
144,2004-09-08,Lithuania,San Marino,4,0,FIFA World Cup qualification,Kaunas,Lithuania,4,4
145,2004-10-13,Lithuania,Spain,0,0,FIFA World Cup qualification,Vilnius,Lithuania,0,0
146,2004-11-17,San Marino,Lithuania,0,1,FIFA World Cup qualification,Serravalle,San Marino,1,-1
147,2005-02-09,Georgia,Lithuania,1,0,Friendly,Tbilisi,Georgia,1,1
148,2005-03-30,Bosnia and Herzegovina,Lithuania,1,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,2,0
149,2005-05-21,Lithuania,Latvia,2,0,Baltic Cup,Kaunas,Lithuania,2,2
150,2005-06-04,Spain,Lithuania,1,0,FIFA World Cup qualification,Valencia,Spain,1,1
151,2005-08-17,Lithuania,Belarus,1,0,Friendly,Vilnius,Lithuania,1,1
152,2005-09-03,Serbia,Lithuania,2,0,FIFA World Cup qualification,Belgrade,Serbia and Montenegro,2,2
153,2005-09-07,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
154,2005-10-08,Lithuania,Serbia,0,2,FIFA World Cup qualification,Vilnius,Lithuania,2,-2
155,2005-10-12,Lithuania,Belgium,1,1,FIFA World Cup qualification,Vilnius,Lithuania,2,0
156,2006-03-01,Albania,Lithuania,1,2,Friendly,Tirana,Albania,3,-1
157,2006-05-02,Poland,Lithuania,0,1,Friendly,Be?chat�w,Poland,1,-1
158,2006-08-16,Moldova,Lithuania,3,2,Friendly,Chi?in?u,Moldova,5,1
159,2006-09-02,Italy,Lithuania,1,1,UEFA Euro qualification,Naples,Italy,2,0
160,2006-09-06,Lithuania,Scotland,1,2,UEFA Euro qualification,Kaunas,Lithuania,3,-1
161,2006-10-07,Faroe Islands,Lithuania,0,1,UEFA Euro qualification,T�rshavn,Faroe Islands,1,-1
162,2006-10-11,Kuwait,Lithuania,1,0,Friendly,Kuwait City,Kuwait,1,1
163,2006-11-15,Malta,Lithuania,1,4,Friendly,Attard,Malta,5,-3
164,2007-02-06,Lithuania,Mali,1,3,Friendly,La Courneuve,France,4,-2
165,2007-03-24,Lithuania,France,0,1,UEFA Euro qualification,Kaunas,Lithuania,1,-1
166,2007-03-28,Ukraine,Lithuania,1,0,UEFA Euro qualification,Odesa,Ukraine,1,1
167,2007-06-02,Lithuania,Georgia,1,0,UEFA Euro qualification,Kaunas,Lithuania,1,1
168,2007-06-06,Lithuania,Italy,0,2,UEFA Euro qualification,Kaunas,Lithuania,2,-2
169,2007-08-22,Lithuania,Turkmenistan,2,1,Friendly,Kaunas,Lithuania,3,1
170,2007-09-08,Scotland,Lithuania,3,1,UEFA Euro qualification,Glasgow,Scotland,4,2
171,2007-09-12,Lithuania,Faroe Islands,2,1,UEFA Euro qualification,Kaunas,Lithuania,3,1
172,2007-10-17,France,Lithuania,2,0,UEFA Euro qualification,Nantes,France,2,2
173,2007-11-17,Lithuania,Ukraine,2,0,UEFA Euro qualification,Kaunas,Lithuania,2,2
174,2007-11-21,Georgia,Lithuania,0,2,UEFA Euro qualification,Tbilisi,Georgia,2,-2
175,2008-03-26,Lithuania,Azerbaijan,1,0,Friendly,Vilnius,Lithuania,1,1
176,2008-05-27,Czech Republic,Lithuania,2,0,Friendly,Prague,Czech Republic,2,2
177,2008-05-31,Estonia,Lithuania,0,1,Baltic Cup,Jurmala,Latvia,1,-1
178,2008-06-01,Latvia,Lithuania,2,1,Baltic Cup,Riga,Latvia,3,1
179,2008-06-04,Lithuania,Russia,1,4,Friendly,Burghausen,Germany,5,-3
180,2008-08-20,Lithuania,Moldova,3,0,Friendly,Marijampol?,Lithuania,3,3
181,2008-09-06,Romania,Lithuania,0,3,FIFA World Cup qualification,Cluj,Romania,3,-3
182,2008-09-10,Lithuania,Austria,2,0,FIFA World Cup qualification,Marijampol?,Lithuania,2,2
183,2008-10-11,Serbia,Lithuania,3,0,FIFA World Cup qualification,Belgrade,Serbia,3,3
184,2008-10-15,Lithuania,Faroe Islands,1,0,FIFA World Cup qualification,Kaunas,Lithuania,1,1
